PJ21 Machine Run Status Raw Data
"no","name","side","runTime","Coin_received","Wechat_received","Epay_received","Manual_payment","Detergent","Softener","LB","status","Received_Time","startTime","endTime","machine"
1,"SP-W1","NA","0:0:11",203,0,3,0,0,0,0,"SUCCESS","17/03/2019 21:05:54","17/03/2019 21:05:43","17/03/2019 21:05:54","467b712f6f3dd1baad34f7b11b75f7d1"
2,"SP-W1","NA","0:0:3",8,0,0,0,0,0,0,"SUCCESS","17/03/2019 21:06:54","17/03/2019 21:06:51","17/03/2019 21:06:54","467b712f6f3dd1baad34f7b11b75f7d1"
3,"SP-W1","NA","0:0:6",1,0,0,0,0,0,0,"SUCCESS","17/03/2019 21:14:50","01/01/1970 07:30:02","01/01/1970 07:30:08","467b712f6f3dd1baad34f7b11b75f7d1"
4,"SP-W1","NA","0:0:4",8,0,0,0,0,0,0,"SUCCESS","17/03/2019 21:16:17","17/03/2019 21:16:13","17/03/2019 21:16:17","467b712f6f3dd1baad34f7b11b75f7d1"
5,"SP-W1","NA","0:0:3",8,0,0,0,0,0,0,"SUCCESS","17/03/2019 21:17:10","17/03/2019 21:17:07","17/03/2019 21:17:10","467b712f6f3dd1baad34f7b11b75f7d1"
1,"SP-D5","NA","0:11:53",-3,0,3,0,0,0,0,"SUCCESS","17/03/2019 22:03:45","17/03/2019 21:51:49","17/03/2019 22:03:42","eacd155d4cf3a996cfd92de5e623fffa"
2,"SP-D5","NA","0:0:3",8,0,0,0,0,0,0,"SUCCESS","17/03/2019 22:04:45","17/03/2019 22:04:42","17/03/2019 22:04:45","eacd155d4cf3a996cfd92de5e623fffa"
3,"SP-D5","NA","0:0:3",8,0,0,0,0,0,0,"SUCCESS","17/03/2019 22:05:39","17/03/2019 22:05:35","17/03/2019 22:05:38","eacd155d4cf3a996cfd92de5e623fffa"
6,"SP-W1","NA","0:19:7",0,0,0,0,0,0,0,"SUCCESS","17/03/2019 22:08:29","17/03/2019 21:49:22","17/03/2019 22:08:29","467b712f6f3dd1baad34f7b11b75f7d1"
7,"SP-W1","NA","0:0:21",8,0,0,0,0,0,0,"SUCCESS","17/03/2019 22:15:37","17/03/2019 22:15:16","17/03/2019 22:15:37","467b712f6f3dd1baad34f7b11b75f7d1"
8,"SP-W1","NA","0:0:4",8,0,0,0,0,0,0,"SUCCESS","17/03/2019 22:16:31","17/03/2019 22:16:27","17/03/2019 22:16:31","467b712f6f3dd1baad34f7b11b75f7d1"
4,"SP-D5","NA","0:4:37",8,0,0,0,0,0,0,"SUCCESS","17/03/2019 22:35:57","17/03/2019 22:31:20","17/03/2019 22:35:57","eacd155d4cf3a996cfd92de5e623fffa"
5,"SP-D5","NA","0:6:47",12,0,0,0,0,0,0,"SUCCESS","17/03/2019 22:46:12","17/03/2019 22:39:25","17/03/2019 22:46:12","eacd155d4cf3a996cfd92de5e623fffa"
1,"SP-D17-18","upper","0:1:35",8,0,0,0,0,0,0,"SUCCESS","17/03/2019 23:25:33","17/03/2019 23:23:58","17/03/2019 23:25:33","ae7d7950ed68a29b627719c0723f0ca0"
2,"SP-D17-18","lower","NaN:NaN:NaN",null,0,0,0,0,0,0,"SUCCESS","17/03/2019 23:25:33","Invalid date","17/03/2019 23:25:33","ae7d7950ed68a29b627719c0723f0ca0"
3,"SP-D17-18","upper","0:3:9",0,0,0,0,0,0,0,"SUCCESS","17/03/2019 23:29:13","17/03/2019 23:26:04","17/03/2019 23:29:13","ae7d7950ed68a29b627719c0723f0ca0"
4,"SP-D17-18","lower","NaN:NaN:NaN",null,0,0,0,0,0,0,"SUCCESS","17/03/2019 23:29:13","Invalid date","17/03/2019 23:29:13","ae7d7950ed68a29b627719c0723f0ca0"
5,"SP-D17-18","upper","0:0:20",8,0,0,0,0,0,0,"SUCCESS","17/03/2019 23:36:25","17/03/2019 23:36:05","17/03/2019 23:36:25","ae7d7950ed68a29b627719c0723f0ca0"
6,"SP-D17-18","lower","0:0:20",0,0,0,0,0,0,0,"SUCCESS","17/03/2019 23:36:25","17/03/2019 23:36:05","17/03/2019 23:36:25","ae7d7950ed68a29b627719c0723f0ca0"
7,"SP-D17-18","upper","0:0:22",8,0,0,0,0,0,0,"SUCCESS","18/03/2019 09:48:50","18/03/2019 09:48:28","18/03/2019 09:48:50","ae7d7950ed68a29b627719c0723f0ca0"
8,"SP-D17-18","lower","0:0:22",0,0,0,0,0,0,0,"SUCCESS","18/03/2019 09:48:51","18/03/2019 09:48:28","18/03/2019 09:48:50","ae7d7950ed68a29b627719c0723f0ca0"
9,"SP-D17-18","upper","0:3:15",0,0,0,0,0,0,0,"SUCCESS","18/03/2019 09:52:34","18/03/2019 09:49:19","18/03/2019 09:52:34","ae7d7950ed68a29b627719c0723f0ca0"
10,"SP-D17-18","lower","0:3:15",8,0,0,0,0,0,0,"SUCCESS","18/03/2019 09:52:35","18/03/2019 09:49:19","18/03/2019 09:52:34","ae7d7950ed68a29b627719c0723f0ca0"
11,"SP-D17-18","upper","0:3:59",0,0,0,0,0,0,0,"SUCCESS","18/03/2019 09:57:03","18/03/2019 09:53:04","18/03/2019 09:57:03","ae7d7950ed68a29b627719c0723f0ca0"
12,"SP-D17-18","upper","0:3:45",0,0,0,0,0,0,0,"SUCCESS","18/03/2019 10:01:17","18/03/2019 09:57:32","18/03/2019 10:01:17","ae7d7950ed68a29b627719c0723f0ca0"
13,"SP-D17-18","lower","0:8:13",8,0,0,0,0,0,0,"SUCCESS","18/03/2019 10:01:17","18/03/2019 09:53:04","18/03/2019 10:01:17","ae7d7950ed68a29b627719c0723f0ca0"
14,"SP-D17-18","upper","0:4:22",0,0,0,0,0,0,0,"SUCCESS","18/03/2019 10:07:58","18/03/2019 10:03:36","18/03/2019 10:07:58","ae7d7950ed68a29b627719c0723f0ca0"
15,"SP-D17-18","upper","0:11:18",0,0,0,0,0,0,0,"SUCCESS","18/03/2019 10:19:44","18/03/2019 10:08:26","18/03/2019 10:19:44","ae7d7950ed68a29b627719c0723f0ca0"
16,"SP-D17-18","upper","0:14:58",0,0,0,0,0,0,0,"SUCCESS","18/03/2019 10:35:12","18/03/2019 10:20:13","18/03/2019 10:35:11","ae7d7950ed68a29b627719c0723f0ca0"
17,"SP-D17-18","lower","0:31:35",27,0,0,0,0,0,0,"SUCCESS","18/03/2019 10:35:12","18/03/2019 10:03:36","18/03/2019 10:35:11","ae7d7950ed68a29b627719c0723f0ca0"
18,"SP-D17-18","upper","0:0:24",8,0,0,0,0,0,0,"SUCCESS","18/03/2019 10:41:50","18/03/2019 10:41:25","18/03/2019 10:41:49","ae7d7950ed68a29b627719c0723f0ca0"
19,"SP-D17-18","lower","0:0:24",0,0,0,0,0,0,0,"SUCCESS","18/03/2019 10:41:50","18/03/2019 10:41:25","18/03/2019 10:41:49","ae7d7950ed68a29b627719c0723f0ca0"
20,"SP-D17-18","upper","0:2:40",8,0,0,0,0,0,0,"SUCCESS","18/03/2019 10:45:22","18/03/2019 10:42:40","18/03/2019 10:45:20","ae7d7950ed68a29b627719c0723f0ca0"
21,"SP-D17-18","lower","0:2:40",8,0,0,0,0,0,0,"SUCCESS","18/03/2019 10:45:22","18/03/2019 10:42:40","18/03/2019 10:45:20","ae7d7950ed68a29b627719c0723f0ca0"
22,"SP-D17-18","upper","0:0:4",8,0,0,0,0,0,0,"SUCCESS","18/03/2019 10:46:14","18/03/2019 10:46:10","18/03/2019 10:46:14","ae7d7950ed68a29b627719c0723f0ca0"
23,"SP-D17-18","lower","0:0:4",0,0,0,0,0,0,0,"SUCCESS","18/03/2019 10:46:14","18/03/2019 10:46:10","18/03/2019 10:46:14","ae7d7950ed68a29b627719c0723f0ca0"
6,"SP-D5","NA","NaN:NaN:NaN",null,0,0,0,0,0,0,"SUCCESS","18/03/2019 10:53:20","Invalid date","Invalid date","eacd155d4cf3a996cfd92de5e623fffa"
7,"SP-D5","NA","NaN:NaN:NaN",null,0,0,0,0,0,0,"SUCCESS","18/03/2019 10:54:13","Invalid date","Invalid date","eacd155d4cf3a996cfd92de5e623fffa"
8,"SP-D5","NA","0:6:36",8,0,0,0,0,0,0,"SUCCESS","18/03/2019 11:20:08","18/03/2019 11:13:32","18/03/2019 11:20:08","eacd155d4cf3a996cfd92de5e623fffa"
9,"SP-D5","NA","0:0:3",8,0,0,0,0,0,0,"SUCCESS","18/03/2019 11:21:01","18/03/2019 11:20:58","18/03/2019 11:21:01","eacd155d4cf3a996cfd92de5e623fffa"
1,"SP-V1","NA",0,"38SFTNR_DROP111111",0,0,0,0,1,0,"SUCCESS","18/03/2019 14:37:40","Invalid date","NA","e15ceae8fa62a160cebe0a1644e6116c"
2,"SP-V1","NA",0,"26SFTNR_21111",0,0,0,0,1,0,"SUCCESS","18/03/2019 15:09:04","Invalid date","NA","e15ceae8fa62a160cebe0a1644e6116c"
2,"SP-V1","NA",0,"2SFTNR_211111121111",0,0,0,5,6,5,"SUCCESS","18/03/2019 15:15:15","18/03/2019 15:15:15","NA","e15ceae8fa62a160cebe0a1644e6116c"
1,"SP-V1","NA",0,"221111",0,0,0,5,5,5,"SUCCESS","18/03/2019 15:20:24","18/03/2019 15:20:24","NA","e15ceae8fa62a160cebe0a1644e6116c"
