PJ21Manual CutOff Report
"Machines","Last_CutOff_Time","Current_CutOff_Time","Coin_Collected","Actual_Coin_Counted","Detergent_Unit_Received","Detergent_Unit_Counted","Softener_Unit_Received","Softener_Unit_Counted","Beg_Unit_Received","Beg_Unit_Counted","CutOff_by","Submit_by"
"SP-W1","29/03/2019 14:33:15","29/03/2019 14:33:15",0,,0,0,0,0,0,0,,"otouch_admin"
"SP-W1","29/03/2019 14:33:15","29/03/2019 14:33:15",0,,0,0,0,0,0,0,,"otouch_admin"
"SP-W1","29/03/2019 14:33:15","29/03/2019 14:33:15",0,,0,0,0,0,0,0,,"otouch_admin"
"SP-W1","29/03/2019 14:33:15","29/03/2019 14:33:15",0,,0,0,0,0,0,0,,"otouch_admin"
"SP-W1","29/03/2019 14:33:15","29/03/2019 14:33:15",0,,0,0,0,0,0,0,,"otouch_admin"
"SP-W1","29/03/2019 14:33:15","07/04/2019 22:31:06",0,,0,0,0,0,0,0,"otouch_admin","otouch_admin"
"SP-W1","07/04/2019 22:31:06","07/04/2019 22:36:50",0,,0,0,0,0,0,0,"otouch_admin","otouch_admin"
"SP-W1","07/04/2019 22:36:50","07/04/2019 22:49:12",0,"22",0,0,0,0,0,0,"otouch_admin","otouch_admin"
"SP-V1","07/04/2019 22:19:32","07/04/2019 22:55:59",0,"12",0,,0,,0,,"otouch_admin","otouch_admin"
"SP-D5","07/04/2019 22:17:11","07/04/2019 22:19:32",0,"13",0,0,0,0,0,0,"otouch_admin","otouch_admin"
"SP-D17-18","07/04/2019 22:05:21","07/04/2019 22:59:30",0,"12",0,0,0,0,0,0,"otouch_admin","otouch_admin"
"SP-D19-20","07/04/2019 21:45:02","07/04/2019 22:05:21",0,"14",0,0,0,0,0,0,"otouch_admin","otouch_admin"
"SP-V1","07/04/2019 22:55:59","07/04/2019 23:04:27",0,"33",0,"11","CutOff","11",0,"11","otouch_admin","otouch_admin"
"SP-V1","07/04/2019 23:04:27","07/04/2019 23:14:03",0,"6",0,"1",0,"2",0,"3","otouch_admin","otouch_admin"
"SP-V1","07/04/2019 23:14:03","07/04/2019 23:16:08",0,"6",0,"1","CutOff","2",0,"3","otouch_admin","otouch_admin"
"SP-W1","07/04/2019 22:49:12","10/04/2019 16:40:35",0,"0",0,0,0,0,0,0,"otouch_admin","otouch_admin"
"SP-D5","07/04/2019 22:17:11","07/04/2019 22:19:32",0,"0",0,0,0,0,0,0,"otouch_admin","otouch_admin"
