PJ21Manual CutOff Report
"Groups","Last_CutOff_Time","Current_CutOff_Time","Coin_Collected","Actual_Coin_Counted","Detergent_Unit_Received","Detergent_Unit_Counted","Softener_Unit_Received","Softener_Unit_Counted","Beg_Unit_Received","Beg_Unit_Counted"
"VEND","28/03/2019 16:17:39","28/03/2019 16:22:25",0,"88",0,"22",0,"44",0,"22"
"VEND","28/03/2019 16:22:25","28/03/2019 16:24:02",0,"88",0,"44",0,"22",0,"44"
"VEND","28/03/2019 16:24:02","28/03/2019 16:29:51",0,"55",0,"11",0,"22",0,"22"
"G1",0,"28/03/2019 16:33:51",0,"44",0,0,0,0,0,0
"SP-W1","29/03/2019 14:30:11","29/03/2019 14:33:15",0,"55",0,0,0,0,0,0
"SP-V1","28/03/2019 16:29:51","29/03/2019 14:33:40",0,"33",0,"55",0,"66",0,"88"
"SP-D17-18","29/03/2019 20:56:46","29/03/2019 21:02:59",0,"44",0,0,0,0,0,0,"otouch_admin","otouch_admin"
"SP-D19-20","28/03/2019 16:33:51","29/03/2019 21:03:28",0,"158",0,0,0,0,0,0,"otouch_admin","otouch_admin"
"SP-D5","28/03/2019 16:33:51","29/03/2019 21:03:53",0,"77",0,0,0,0,0,0,"otouch_admin","otouch_admin"
"SP-D19-20","29/03/2019 21:03:28","29/03/2019 21:03:28",0,"55",0,0,0,0,0,0,,"otouch_admin"
